Filename,Key Concepts
a02cc691384d43edbaf707f306841c3b.xml,"[""Data scientist's role involves utilizing computational and statistical skills to uncover solutions that meet business needs."", 'Developing algorithms and building models are crucial for the analytic solution in data science projects.', 'Data understanding phase involves data acquisition and data preparation.', 'Quality of data has a direct impact on the quality of the analytic solution.', 'Data wrangling is the process of gathering, selecting, and transforming data to ensure usability and minimize bias.', 'Data management ensures data reliability, validity, and integrity.', 'Data management involves planning, oversight, and control over data and data-related resources.', 'Data architecture refers to the overall structure of data and data-related resources.', 'Data modeling and design involve analysis, design, building, testing, and maintenance of data.', 'Data storage and operations involve structured physical data assets storage deployment and management.', 'Data security ensures privacy, confidentiality, and appropriate access to data.', 'Data integration and interoperability involve acquisition, transformation, movement, and delivery of data.', 'Documents and content management involves storing, protecting, indexing, and enabling access to unstructured data.', 'Reference and master data management reduces redundancy and ensures better data quality.', 'Data warehousing and business intelligence involve managing analytical data processing']"
a0abc3fa0e6b44aaaf5e70e36602b61e.xml,"['Each data science project is unique and requires a data collection technique that suits the problem and objectives.', 'The data collection techniques for different projects vary based on the analysis being performed.', 'Business and analytic objectives drive the tasks and methods proposed for a project.', 'The type of data used in a project is influenced by the tasks and methods chosen.', 'Traditional techniques for data collection include conducting interviews, focus groups, document analysis, and observations.', 'The type of data affects the method employed to solve the analytic objective.', 'A data scientist should be aware of different sources of data and how they affect the solution development process.', 'Data can be sourced by the client but controlled by an external source, or collected and owned by the client.']"
a0d6e696158d44cb993ac9175f224c55.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: a0d6e696158d44cb993ac9175f224c55', 'Title: New Page', 'Body content: Empty contents']"
a15a0946f8364c0a81c2d538954588ec.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: a15a0946f8364c0a81c2d538954588ec', 'Title: New Page', 'Body content: Empty contents']"
a28b204fb8954fceb52a3e846fdd5698.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: a28b204fb8954fceb52a3e846fdd5698', 'Title: New Page', 'Body content: Empty contents']"
a2aba8cb20d84feb92654647946ecbb8.xml,"['Prediction: Using a model to predict outcomes and understanding how dependent variables are affected by changes in independent variables.', 'Inference: Understanding how dependent variables are affected by changes in independent variables.', 'Parametric Methods: Assuming that the dataset comes from a population with fixed parameters.', 'Non-Parametric Methods: Seeking an estimate of ""f"" that is close to the data points.', 'Linear Model: A restrictive linear model that shows the relationship between the dependent variable and independent variables.', 'Classification: Labeling outcomes of a new dataset based on an existing dataset with labeled outcomes.', 'Types of Classification Problems: Binary Classification, Multi-Class Classification, and Multi-Label Classification.', 'Logistic Regression: Using a logistic function to model the probability of a class or event.', 'Regression Techniques: Investigating the relationship between input variables and output variables and predicting the average value of an output variable.', 'Simple Linear Regression Model: Predicting a response based on one predictor variable.', 'Multiple Linear Regression Method: Accounting for multiple predictors in the regression model.', 'Goodness of Fit: Assessing how well a model fits the data it is trained with.', 'Cluster Analysis: Studying the hidden structure of data and identifying different groups']"
a2c9cadf120741b1b0709f4ea57eea38.xml,"['Exploratory Data Analysis (EDA)', 'Importance of Exploratory Data Analysis', 'Identify trends and patterns in the data', 'Highlight outlier values in the data', 'Draw conclusions on the data even without modeling', 'Visualize the data to pinpoint points of action', 'Visually inspect the data', 'Perform basic statistical analysis on each column/variable', 'Graph columns using simple visualizations', 'Sample Dataset (Four (4) sets, 11 observations with two (2) variables each)', 'Averages for sample dataset', 'Summary Measures of Sample Data', 'Visual Representation', 'Plots of Sets within Sample Dataset']"
a3e60ec52fd1485daf95a85dac31bbff.xml,"['Validating Requirements', 'Evaluation at each step of the process', 'Errors identification and fixing', 'Validation and verification exercises', 'Confirming requirements meet business and user needs', 'Tracing requirements back to business and analytic objectives', 'Properties of high-quality requirements', 'Performing validation before delivering the solution', 'Testing without implementation', 'Validating requirements throughout the solution development process', 'Steps to validate requirements: ', 'Review requirements', 'Prototype requirements', 'Test requirements', 'Peer review of requirements management plan', 'Producing a summary of defects document', 'Prototyping techniques', 'Acceptance tests and acceptance criteria', 'SMART goals for defining acceptance criteria', 'Formal sign off for approved and accepted requirements', 'Beginning development of the solution/solutions']"
a4167b26abaf41c999d256ed199c8127.xml,"['Technique used to convert raw data from its numeric or categorical format to a format that can be used when performing modeling.', 'Mathematical models mostly ""understand"" data in numeric form, hence the need for transforming raw data.', 'Features should be normalized as needed to meet the assumptions of the mathematical models during the transformation process.', 'Categorical variables can be transformed to numeric format using feature engineering techniques including categorical variable encoding.', 'Bias can be introduced to the data during the feature engineering process, and there are different kinds of biases and ways to control for them.', 'Principal Component Analysis is a way of using modeling techniques for dimensionality reduction in the dataset.', 'Transitioning from the data understanding phase to modeling.']"
a47d2cb6edc24ca7a5bb1b42b9021790.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: a47d2cb6edc24ca7a5bb1b42b9021790', 'Title: New Page', 'Body content: Empty contents']"
a8503d398c5545a28640f6fda9980856.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: a8503d398c5545a28640f6fda9980856', 'Title: New Page', 'Body content: Empty contents']"
a9f596c78e124ac4a71bb63f4af2b672.xml,"['Supervised learning involves training models with labeled input and output data.', 'KNN is a similarity function and a weak learner, useful for large datasets that will be updated continuously.', 'Bayes Theorem describes the probability of an event based on prior knowledge of conditions related to that event.', 'Naive Bayes is a simple classifier that can be applied to categorical predictors.', 'Tree based methods, such as Classification and Regression Trees (CART), are considered simpler methods for prediction and classification.', 'Ensemble models combine other models to produce an optimal predictive model and solve the problem of overfitting.', 'Bagging reduces variance in a decision tree method.', 'Random Forest method is an extension of bagging and remedies overfitting issues.', 'Boosting can be used to improve the predictive accuracy of certain methods, including decision trees.', 'Taking the quiz.']"
aa8999d9a25e49669369e85bd9c12219.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: aa8999d9a25e49669369e85bd9c12219', 'Title: Summary', 'Body content: ', '  - Paragraph with ID: d6a1b227cad74365824ea3bf8a81addf, containing the text ""This is a new page with empty contents.""', '  - Empty paragraph with ID: c4476ff9f352475aa168bb44ba1ff506', '  - Activity with ID reference: newd0be3676060e44379a1de0bf2099a9fa, purpose: quiz']"
aacbbe73fa6f4615b3172bddb51194d8.xml,"['Bias-Variance Trade-Off', 'Data Science Knowledge']"
ac4605b2a7c54814adae760db0cd03d3.xml,"['Completing the task that meets analytic objectives', 'Defining a problem and setting analytic and project objectives', 'Defining requirements', 'Performing exploratory data analysis', 'Building models', 'Examining the impact of the solution on decision makers and those affected', 'The tradeoff between model accuracy and interpretability', 'The relationship between inputs and output in a model', 'The ability of a model to answer questions and support decision making', 'Making tradeoffs between model accuracy and interpretability in data science.']"
af529a5ec36b4e2aa5ef42060df029ce.xml,"['Cluster Analysis: The technique used to study the hidden structure of data and identify different groups within that structure.', 'Types of clustering techniques: There are different types of clustering techniques that will be explored in an upcoming module.', 'K-means clustering: A widely used clustering technique that computes the distance between data points in a group and the center of the group. It can only be applied to numerical variables and uses euclidean distance as a similarity measure.', 'Hierarchical clustering: Connects data points to form clusters based on their distance. It can be agglomerative (grouping clusters based on similarity) or divisive (putting all data points in one cluster and then separating them based on dissimilarity).', 'Dendrogram: A representation of hierarchical clusters, where the y-axis marks the distance where clusters merge and data points are placed on the x-axis.', 'Evaluation of clustering results: Similar to regression and classification techniques, clustering output should be evaluated. Evaluation methods differ based on the clustering technique used. Module 14 will focus on different types of clustering techniques and their evaluation techniques.', 'Reading: A link to a resource on evaluating clustering results.']"
afe43b3ca23848d29a3af1d12f9c426d.xml,"['Dimensionality: The concept of dimensionality in data science, including issues with over-fitting and computing costs, and the curse of dimensionality.', 'Feature Extraction: A technique used to reduce the dimensionality of a dataset, also known as principal component analysis (PCA).', 'Principal Component Analysis (PCA): A technique used to reduce the dimensionality of a dataset by assessing the relationship between variables and selecting the most useful ones.', 'Linear Discriminant Analysis (LDA): Another technique for dimension reduction mentioned in the text.', 'Eigenvectors and Eigenvalues: Mathematical concepts used in PCA to perform the eigendecomposition on the covariance matrix.', 'Steps of PCA: The specific steps involved in performing PCA, including standardizing the data, computing the covariance matrix, computing eigenvectors and eigenvalues, sorting eigenvalues, constructing the projection matrix, and transforming the original data set.', 'PCA in Python Example: A link to an example of implementing PCA in Python.', 'Reading: A link to a brief article on Principal Component Analysis.']"
b05c77bbc0954397a6d500bb6583d1df.xml,"['Accuracy Versus Interpretability', 'Data Science Knowledge']"
b14af454ec8047b2a9c2388d60771c6e.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: b14af454ec8047b2a9c2388d60771c6e', 'Title: New Page', 'Body content: ', '  - Paragraph with ID: d0f61d3b3f4946a48893505faa509f1b', '  - Empty paragraph with ID: c43f5348cd064129bcb715e21d196720', '  - Inline reference with ID: newb90d26b74f994d7aaeaced56c80c55a1 and purpose ""learnbydoing""']"
b18d448de2514761bc6bda97d9b4bb60.xml,"['Analytic objectives: The text mentions the importance of formulating analytic objectives that state how the application of analytical methods to data can facilitate reaching business goals.', '', 'Business goals: The text refers to the identification of business goals as the starting point for formulating analytic objectives.', '', 'Template for analytic objectives: The text mentions a template that can be used to phrase analytic objectives.', '', 'Incremental steps towards business objectives: The text discusses the concept of working towards solving a problem by focusing on specific tasks and applying analytic methods in conjunction with data.', '', 'Analytic methods: The text emphasizes the use of analytic methods in data science work.', '', 'Data: The text highlights the importance of using data in conjunction with analytic methods to create valuable functionality and produce insights.', '', 'Research hypothesis: The text suggests that the formulation of an analytic objective can be considered a research hypothesis, as it posits that a certain technique improves a metric with regard to a population of problem instances.', '', 'Statistical tests: The text mentions that the effectiveness of data science methods is regularly scrutinized using statistical tests in academic settings.', '', 'Methodological rigor: The text encourages striving for methodological rigor in industry applications of data science methods.', '', 'Communication with clients and domain experts: The text']"
b48ebd2cb2c34ab9aa39bb99cbc2a193.xml,"['Data science process emphasizes understanding business needs and objectives, and defining analytic objectives to meet the expectations of the client.', 'Requirements gathering process involves identifying stakeholders, eliciting needs, and defining requirements.', 'Difference between requirements of a traditional IT project and those of a data science project is the focus on requirements for the analytic solution.', 'Functional requirements define the functions of a system and how users will interact with the system.', 'Functional requirements are derived from user and system requirements needed to satisfy business requirements.', 'Use cases describe the interaction between the system and its users.', 'Functional requirements are organized by priority, with high priority requirements being implemented first.', 'Not all functional requirements are implemented in the first iteration of solution development.', 'Traditional functional requirements in software and application development include business rules, process flows, audit tracking, transaction handling, reporting requirements, administration functions, authorization requirements, and data management.', 'Requirements can be captured in different formats including user stories, use case specifications, voice of the customer, and business rules.', 'Initial user requirements are often written too broad and need to be decomposed into functional requirements.', 'Use case specifications provide a textual description of a use case and decompose user requirements into functional requirements.', '3']"
b54b9560ac4f474e948597c8f4cc8ce7.xml,"['Model interpretation', 'Data Scientist', 'Client', 'End user empowerment', 'Trust in a model', 'Doctor', 'Flu prediction', 'Decision making', 'Interpretability', 'Machine learning', 'Human decision makers', 'Predictions', 'Problem solving', 'Doshi Velez & Kim (2017)', 'Bias identification', 'Acceptance', 'Debugging', 'Auditing', 'Impact', 'Context', 'Assessments', 'Metrics', 'Trustworthiness', 'Reading', 'Technique', 'Classifiers', 'Neural networks', 'Local Surrogate Models', 'Black box models', 'Shapley Value', 'Features', 'Importance', 'Additional Resource', 'Sara Hooker', 'Perfect Model']"
b70d1886fc7e48a98d1941febbde3152.xml,"['Formulating the analytic objective/research hypothesis', 'Understanding the business objective', 'Identifying the problem', 'Focusing on a well-defined task', 'Checking proposed method against the target insight', 'Proposing data collection and curation methods', 'Framing the analytic objective', 'Reframing analytic objectives to focus on specific tasks', 'Incremental steps as the main goal', 'Specific functionality, insight, or resource gained from leveraging data and methods', 'Comparison to the current situation', 'Assuming the project is successful as proposed.']"
b7ceae5042564a13b7868f95bddacfcb.xml,"['There is a tradeoff between model accuracy and model interpretation.', 'Models that are easily interpretable tend to be less accurate and models that are highly accurate tend to be less interpretable.', 'We want to be able to explain a model to a human being to ensure better decision making for clients and end users.', 'Interpretability is important in the model building process.', 'Understanding the why behind results leads to early bias detection, better acceptance, model debugging, and satisfying human curiosity.', 'Completing Module 16 is necessary before starting Quiz 10.']"
bac22ecf62614913b53e8b09ee38b8a6.xml,"['Internal Evaluation: Evaluates clusters based on similarity within the cluster and dissimilarity with other clusters. It assigns a score to each cluster and identifies the best cluster based on the score. However, it does not assess the validity of the results in the clusters.', '', 'Silhouette Coefficient: Measures how similar a data point is to its cluster compared to other clusters. It is calculated using the mean intra-cluster distance and the mean nearest cluster distance. A coefficient of 1 is best, -1 is worst (indicating the sample is in the wrong cluster), and close to 0 indicates overlapping clusters.', '', 'Dunn Index: Evaluates clustering techniques based on the compactness and separation of clusters. It calculates the distance between data points within a cluster and between data points in different clusters. The index is computed as min.separation/max.diameter.', '', 'External Evaluation: Measures clustering results based on data not used for the clustering task. It requires ground truth data for evaluation.', '', 'Rand Index: Determines the similarity between clusters and a set benchmark. It is calculated as (TP + TN) / (TP + FP + FN + TN).', '', 'Purity: Assigns each cluster to a class and calculates the accuracy by dividing the number of correctly assigned']"
baf685e044b747728ff285cd468f03da.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: baf685e044b747728ff285cd468f03da', 'Title: New Page', 'Body content: Empty contents']"
bb1ee22518a04be08aab43d3a4817774.xml,"['AI Philosophy: A Process, not a Product', 'AI Philosophy: A Process, not a Product (copy)', 'AI Philosophy', 'Process', 'Product']"
bb899dab4c824bb98d9bd4a3d2aae224.xml,"['Data Science Ready: The organization has identified all the current sources of data to be considered, and those data have been normalized and integrated into a form that supports data science.', 'Data Science Enabled: Preliminary analysis indicates that the data support the desired analytic objectives.', 'AI Ready: The organization has determined how to leverage the insights from data science as part of an operational process and has implemented the appropriate software or software extensions.', 'AI Enabled: The organization has deployed the new software in a relevant context and is able to directly measure the impact.']"
bbc55b94441844e3b7b341ae028c2217.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: bbc55b94441844e3b7b341ae028c2217', 'Title: New Page', 'Body content: Empty contents']"
bbf606c0c1b64c9fb88740e5ac53cc29.xml,"['Data collection process in data science lifecycle', 'Scholarly research', 'Defined business and analytic objectives', 'Valid and reliable data', 'Traditional methods to collect data', 'Questionnaires and surveys', 'Interviews', 'Observations', 'Focus groups', 'Obtrusive data collection methods', 'Unobtrusive data collection methods', 'Web sources for data collection', 'Document analysis', 'Data repository', 'Ethical data gathering', 'Non traditional sources for data collection', 'Non transforming and enriching data for analysis']"
bc51037f932144ffbb61e8b00654c0e1.xml,"['Training Error: The classification error of a model on the exact data used for training.', 'Test Error: The amount of errors to expect when making future predictions and used for model selection.', 'Irreducible Error: The noise term in the true relationship that cannot be reduced by any model.', 'Reducible Error: The error resulting from a mismatch between the estimated relationship and the true relationship.', 'Bias Error: Error from erroneous assumptions in the learning algorithm, causing underfitting.', 'Variance: Error from sensitivity to small fluctuations in the training set, causing overfitting.', 'Bias-Variance Decomposition: Decomposition of the bias-variance trade-off.', 'Model Assessment: Evaluating the performance of a model.', 'Model Selection: Choosing the best model.', 'Cross-validation: Technique for assessing the performance of a model using leave one out or k-fold techniques.', 'Supervised Learning Techniques: Different techniques for supervised learning.', 'CV with Supervised Techniques: Applying cross-validation with supervised learning techniques.', 'Best Model Selection: Selecting the best model using supervised techniques.']"
bc86b2c06c584fada885798b85a0df59.xml,"['Data governance: Defines how data is accessed and managed within an organization.', 'Effective data management: Facilitates effective data management and has positive implications for the quality, security, and integrity of data used for analysis.', 'Data quality: Data governance impacts data quality and the decisions that can be made from the data available to the organization.', 'Data governance strategy: Any organization that stores and utilizes data should have a data governance strategy for internal data or data stored within the organization and external data.', 'Enterprise-wide data: Data governance provides a reliable and consistent view of enterprise-wide data.', 'Improved data quality: Data governance ensures that there is a plan for improved quality of data.', 'Data silos: Maps the location of data in the enterprise, reducing the scourge of data silos.', 'Data management: Data governance improves data management overall.', ""Stakeholders: All users of data in an organization are considered stakeholders of the organization's data."", 'Data-driven decisions: Stakeholders make or are affected by data-driven decisions within an organization.', 'Data governance policies: Data stakeholders have an influence on the state and use of data, in addition to data governance policies.', 'Data as an asset: Data governance influences business']"
bdebfe08ac9049548b99f19762eac40b.xml,"['Model Assessment and Model Selection', 'Cross Validation', 'Validation Set Approach', 'MSE (Mean Square Error)', 'k-Fold Cross Validation', 'Bias and Variance', 'Leave One Out Cross Validation (LOOCV)', 'Classification Problems', 'Regression Problems', 'Misclassification Rate']"
be2904e7ee5f4413a60451a6f582b3b8.xml,"['Importance of Feature Engineering', 'Feature engineering is the process of using domain knowledge to extract features from raw data', 'Algorithms need specific features in the model development process', 'Feature engineering ensures dataset compatibility with algorithms and improves model performance', 'Specialized nature of feature engineering and no one-size-fits-all approach', 'Foundational concepts essential to understanding feature engineering', 'Imputation as a technique for handling missing values in data', 'Numerical data imputation methods', 'Categorical data imputation methods', 'Binning as a technique for making models more robust', 'Trade-off between performance and overfitting in binning', 'Handling outliers using statistical and visualization methods', 'Log transform for handling skewed data and reducing the effect of outliers', 'Categorical encoding techniques: one-hot encoding, binary feature encoding, ordinal feature encoding', 'Feature split for improving model performance by splitting features', 'Scaling continuous features for certain machine learning algorithms', 'Normalization and standardization as scaling techniques', 'Tree-based algorithms not affected by scaling', 'Resources for scaling in Python.']"
bf66164fa2d145259230fd0eb255c2e1.xml,"['Business needs: General necessities for a company to remain competitive or expand on the long term.', 'Business objectives: Specific objectives that a company can work towards to meet a particular need.', ""Data science methods: Evaluation of whether data science methods can be used to facilitate a company's efforts to meet their objectives."", 'Solution vision: A walkthrough of how a full data-driven solution to the problem could look like.', 'Analytic objectives: Specific terms that state what the data science project should produce and serve as the main success criterion for the team.']"
c04ef8f128a54480b25e8d817afab139.xml,"['XML version: 1.0', 'Encoding: UTF-8', 'Workbook page with MathML 3.8', 'Workbook page ID: c04ef8f128a54480b25e8d817afab139', 'Title: New Page', 'Body content: Empty contents']"
c0b1dfda12d741328bdcbe40b2b475bb.xml,"['Data wrangling: The process of extracting, gathering, cleansing, transforming, enriching, and integrating data to support enterprise data needs including analytics and other data related needs.', ""Data management framework: The framework of an organization that is affected by data wrangling as it involves cleansing and enriching data that supports the company's data needs."", 'Raw data: Any data that is extracted for company use and should be inspected to identify the necessary transformation techniques to be applied to the dataset.', 'Missing values: One of the most common data quality issues in a dataset, which can happen due to human error or system issues during data collection. It is important to determine why the dataset has missing values.', 'External source: A dataset that was extracted from an external source, which might not provide context on the reason behind the missing values. Investigation of the missing values is still necessary, as the reasons behind them will determine the techniques used to handle those values.', 'Data transformation techniques: Techniques for transforming categorical and numeric data, which are discussed in this module.', 'Feature transformation: Transformation techniques that further affect the analytic solution, which will be explored in a future unit.', 'Data integration: The process of ingesting, transforming, and integrating the transformed']"
